Date,Time,"Nitrogen dioxide",Status
2024-01-01,01:00:00,50.03395,V ugm-3
2024-01-01,02:00:00,53.74124,V ugm-3
2024-01-01,03:00:00,44.99584,V ugm-3
2024-01-01,04:00:00,24.0726,V ugm-3
2024-01-01,05:00:00,17.06198,V ugm-3
2024-01-01,06:00:00,8.35057,V ugm-3
2024-01-01,07:00:00,15.00077,V ugm-3
2024-01-01,08:00:00,34.32677,V ugm-3
2024-01-01,09:00:00,66.62428,V ugm-3
2024-01-01,10:00:00,43.91674,V ugm-3
2024-01-01,11:00:00,39.01592,V ugm-3
2024-01-01,12:00:00,22.11102,V ugm-3
2024-01-01,13:00:00,14.22625,V ugm-3
2024-01-01,14:00:00,12.88548,V ugm-3
2024-01-01,15:00:00,28.50236,V ugm-3
2024-01-01,16:00:00,46.37935,V ugm-3
2024-01-01,17:00:00,40.61156,V ugm-3
2024-01-01,18:00:00,30.61783,V ugm-3
2024-01-01,19:00:00,22.67902,V ugm-3
2024-01-01,20:00:00,12.47453,V ugm-3
2024-01-01,21:00:00,11.59842,V ugm-3
2024-01-01,22:00:00,9.84594,V ugm-3
2024-01-01,23:00:00,11.8565,V ugm-3
2024-01-01,24:00:00,5.30958,V ugm-3
2024-01-02,01:00:00,4.40281,V ugm-3
2024-01-02,02:00:00,4.0587,V ugm-3
2024-01-02,03:00:00,3.86989,V ugm-3
2024-01-02,04:00:00,3.56021,V ugm-3
2024-01-02,05:00:00,3.86989,V ugm-3
2024-01-02,06:00:00,6.50118,V ugm-3
2024-01-02,07:00:00,10.93819,V ugm-3
2024-01-02,08:00:00,15.78822,V ugm-3
2024-01-02,09:00:00,17.18023,V ugm-3
2024-01-02,10:00:00,26.62204,V ugm-3
2024-01-02,11:00:00,22.08256,V ugm-3
2024-01-02,12:00:00,23.16475,V ugm-3
2024-01-02,13:00:00,23.7339,V ugm-3
2024-01-02,14:00:00,29.87338,V ugm-3
2024-01-02,15:00:00,39.36303,V ugm-3
2024-01-02,16:00:00,44.62875,V ugm-3
2024-01-02,17:00:00,49.37447,V ugm-3
2024-01-02,18:00:00,56.54198,V ugm-3
2024-01-02,19:00:00,61.06813,V ugm-3
2024-01-02,20:00:00,71.92469,V ugm-3
2024-01-02,21:00:00,71.8089,V ugm-3
2024-01-02,22:00:00,67.43076,V ugm-3
2024-01-02,23:00:00,70.31032,V ugm-3
2024-01-02,24:00:00,59.96354,V ugm-3
2024-01-03,01:00:00,62.95075,V ugm-3
2024-01-03,02:00:00,58.91635,V ugm-3
2024-01-03,03:00:00,52.82314,V ugm-3
2024-01-03,04:00:00,35.37274,V ugm-3
2024-01-03,05:00:00,37.6451,V ugm-3
2024-01-03,06:00:00,44.46247,V ugm-3
2024-01-03,07:00:00,55.09522,V ugm-3
2024-01-03,08:00:00,53.13429,V ugm-3
2024-01-03,09:00:00,51.37866,V ugm-3
2024-01-03,10:00:00,48.02261,V ugm-3
2024-01-03,11:00:00,45.69933,V ugm-3
2024-01-03,12:00:00,34.28783,V ugm-3
2024-01-03,13:00:00,45.43343,V ugm-3
2024-01-03,14:00:00,40.2228,V ugm-3
2024-01-03,15:00:00,48.17373,V ugm-3
2024-01-03,16:00:00,42.91289,V ugm-3
2024-01-03,17:00:00,33.5146,V ugm-3
2024-01-03,18:00:00,44.20346,V ugm-3
2024-01-03,19:00:00,45.38981,V ugm-3
2024-01-03,20:00:00,29.53945,V ugm-3
2024-01-03,21:00:00,21.1221,V ugm-3
2024-01-03,22:00:00,15.90604,V ugm-3
2024-01-03,23:00:00,14.14992,V ugm-3
2024-01-03,24:00:00,15.38908,V ugm-3
2024-01-04,01:00:00,10.89006,V ugm-3
2024-01-04,02:00:00,6.89255,V ugm-3
2024-01-04,03:00:00,6.04829,V ugm-3
2024-01-04,04:00:00,9.77016,V ugm-3
2024-01-04,05:00:00,12.76829,V ugm-3
2024-01-04,06:00:00,7.75366,V ugm-3
2024-01-04,07:00:00,13.95648,V ugm-3
2024-01-04,08:00:00,20.26246,V ugm-3
2024-01-04,09:00:00,40.41924,V ugm-3
2024-01-04,10:00:00,38.8679,V ugm-3
2024-01-04,11:00:00,33.49251,V ugm-3
2024-01-04,12:00:00,31.57958,V ugm-3
2024-01-04,13:00:00,28.73716,V ugm-3
2024-01-04,14:00:00,26.56628,V ugm-3
2024-01-04,15:00:00,21.50124,V ugm-3
2024-01-04,16:00:00,45.17089,V ugm-3
2024-01-04,17:00:00,61.54961,V ugm-3
2024-01-04,18:00:00,61.70575,V ugm-3
2024-01-04,19:00:00,47.19044,V ugm-3
2024-01-04,20:00:00,39.85175,V ugm-3
2024-01-04,21:00:00,39.17848,V ugm-3
2024-01-04,22:00:00,30.23905,V ugm-3
2024-01-04,23:00:00,43.41255,V ugm-3
2024-01-04,24:00:00,48.1202,V ugm-3
2024-01-05,01:00:00,48.42664,V ugm-3
2024-01-05,02:00:00,43.46022,V ugm-3
2024-01-05,03:00:00,40.66674,V ugm-3
2024-01-05,04:00:00,35.80407,V ugm-3
2024-01-05,05:00:00,34.76865,V ugm-3
2024-01-05,06:00:00,40.55854,V ugm-3
2024-01-05,07:00:00,45.46333,V ugm-3
2024-01-05,08:00:00,50.21696,V ugm-3
2024-01-05,09:00:00,53.94478,V ugm-3
2024-01-05,10:00:00,50.63024,V ugm-3
2024-01-05,11:00:00,56.56319,V ugm-3
2024-01-05,12:00:00,54.66273,V ugm-3
2024-01-05,13:00:00,46.81011,V ugm-3
2024-01-05,14:00:00,35.22117,V ugm-3
2024-01-05,15:00:00,52.60276,V ugm-3
2024-01-05,16:00:00,44.73699,V ugm-3
2024-01-05,17:00:00,63.51706,V ugm-3
2024-01-05,18:00:00,68.02088,V ugm-3
2024-01-05,19:00:00,64.6091,V ugm-3
2024-01-05,20:00:00,68.27279,V ugm-3
2024-01-05,21:00:00,62.38563,V ugm-3
2024-01-05,22:00:00,62.53207,V ugm-3
2024-01-05,23:00:00,67.79326,V ugm-3
2024-01-05,24:00:00,66.29262,V ugm-3
2024-01-06,01:00:00,57.35719,V ugm-3
2024-01-06,02:00:00,48.60178,V ugm-3
2024-01-06,03:00:00,47.12073,V ugm-3
2024-01-06,04:00:00,44.94195,V ugm-3
2024-01-06,05:00:00,42.96619,V ugm-3
2024-01-06,06:00:00,45.49647,V ugm-3
2024-01-06,07:00:00,45.23688,V ugm-3
2024-01-06,08:00:00,42.64351,V ugm-3
2024-01-06,09:00:00,52.95266,V ugm-3
2024-01-06,10:00:00,51.35822,V ugm-3
2024-01-06,11:00:00,59.36073,V ugm-3
2024-01-06,12:00:00,62.66629,V ugm-3
2024-01-06,13:00:00,71.64534,V ugm-3
2024-01-06,14:00:00,78.30788,V ugm-3
2024-01-06,15:00:00,72.42053,V ugm-3
2024-01-06,16:00:00,79.54964,V ugm-3
2024-01-06,17:00:00,86.05744,V ugm-3
2024-01-06,18:00:00,78.22413,V ugm-3
2024-01-06,19:00:00,83.08395,V ugm-3
2024-01-06,20:00:00,73.89934,V ugm-3
2024-01-06,21:00:00,74.86193,V ugm-3
2024-01-06,22:00:00,73.42058,V ugm-3
2024-01-06,23:00:00,67.73653,V ugm-3
2024-01-06,24:00:00,58.91203,V ugm-3
2024-01-07,01:00:00,48.74585,V ugm-3
2024-01-07,02:00:00,45.76921,V ugm-3
2024-01-07,03:00:00,45.47269,V ugm-3
2024-01-07,04:00:00,42.12093,V ugm-3
2024-01-07,05:00:00,32.70629,V ugm-3
2024-01-07,06:00:00,22.34241,V ugm-3
2024-01-07,07:00:00,22.4977,V ugm-3
2024-01-07,08:00:00,32.76064,V ugm-3
2024-01-07,09:00:00,35.19404,V ugm-3
2024-01-07,10:00:00,35.65649,V ugm-3
2024-01-07,11:00:00,39.53121,V ugm-3
2024-01-07,12:00:00,42.22262,V ugm-3
