Place Code,Intermediate Zone,Local Authority,Local Authority (code),Population ,Working Age population,Average distance to nearest park or public garden (m),Median distance to nearest park or public garden (m),Average size of nearest park or public garden (m2),Median size of nearest park or public garden (m2),"Average number of parks and public gardens in 1,000 m radius","Median number of parks and public gardens in 1,000 m radius","Average combined size of parks and public gardens in 1,000 m radius (m2)","Median combined size of parks and public gardens in 1,000 m radius (m2)",Average population per park or public garden,Median population per park or public garden,Number of flats in rural and built up areas,Number of flats in rural and built up areas with gardens,Average garden size for flats in built up area,Number of houses in rural and built up area,Number of houses in rural and built up area with gardens,Average garden size for houses in rural and built up area ,SIMD2020 Rank,SIMD2020 Quintile,SIMD2020 Health Domain Rank,Alcohol Hospital visits ratio,Drug hospital visits ratio,Depression (%),Crime Rate,Overcrowded rate,Drive to secondary,Urban or Rural
S01006506,Culter,Aberdeen City,S12000033,850,580,427.50,335.17,1357.42,1357.42,1.00,1,1357.00,1357,13450.42,13450.42,304,188.94,545.56,180,162,638.52,4691,4,5174,28.73,30.37,13.15%,124.60,10.21%,9.93,URBAN
S01006507,Culter,Aberdeen City,S12000033,791,470,666.52,656.02,1357.42,1357.42,1.00,1,1357.00,1357,13450.42,13450.42,73,45.37,545.56,295,280,308.00,4862,4,5051,129.92,126.43,14.25%,127.70,10.17%,11.04,URBAN
S01006508,Culter,Aberdeen City,S12000033,604,461,203.99,175.02,1357.42,1357.42,1.00,1,1357.00,1357,13450.42,13450.42,255,158.48,545.56,101,99,381.28,5686,5,5942,71.02,18.27,12.81%,129.83,4.82%,10.62,URBAN
S01006509,Culter,Aberdeen City,S12000033,525,307,453.95,485.87,1357.42,1357.42,1.00,1,1357.00,1357,13450.42,13450.42,91,56.56,545.56,192,182,239.97,4332,4,3871,80.47,28.49,16.40%,75.43,7.24%,10.04,URBAN
S01006510,Culter,Aberdeen City,S12000033,660,415,610.13,594.37,1357.42,1357.42,1.00,1,1357.00,1357,13450.42,13450.42,139,86.39,545.56,176,176,352.36,3913,3,3049,89.11,44.29,22.06%,168.01,8.67%,9.65,URBAN
S01006511,Culter,Aberdeen City,S12000033,746,453,982.41,983.85,1357.42,1357.42,1.00,1,1357.00,1357,13450.42,13450.42,12,7.46,545.56,307,305,568.27,6253,5,5783,54.70,0.00,12.24%,*,3.60%,8.61,URBAN
S01006512,Culter,Aberdeen City,S12000033,519,345,2022.63,1620.90,1902.24,1357.42,1.00,1,1901.81,1357,11053.54,13450.42,19,11.81,545.56,161,158,1212.51,5692,5,6586,28.66,0.00,10.70%,131.51,5.44%,12.22,URBAN
S01006513,"Cults, Bieldside and Milltimber West",Aberdeen City,S12000033,818,406,2601.53,2623.65,12866.19,1357.42,1.00,1,12865.71,1357,14644.21,13450.42,89,35.16,1524.23,302,286,377.86,6177,5,5516,27.66,0.00,20.96%,*,2.64%,6.26,URBAN
S01006514,"Cults, Bieldside and Milltimber West",Aberdeen City,S12000033,1153,709,1899.02,2011.33,1357.42,1357.42,1.00,1,1357.00,1357,13450.42,13450.42,15,5.93,1524.23,369,351,890.80,6715,5,6733,17.97,0.00,11.55%,81.16,1.06%,7.04,URBAN
S01006515,"Cults, Bieldside and Milltimber West",Aberdeen City,S12000033,817,529,2513.52,2689.38,3967.03,1357.42,1.00,1,3966.59,1357,11981.43,13450.42,7,2.77,1524.23,279,269,754.71,6363,5,6846,23.38,0.00,10.18%,*,3.81%,6.88,URBAN
