,Date,Time,Nitrogen dioxide
0,01/01/2024,01:00:00,50.03395
1,01/01/2024,02:00:00,53.74124
2,01/01/2024,03:00:00,44.99584
3,01/01/2024,04:00:00,24.0726
4,01/01/2024,05:00:00,17.06198
5,01/01/2024,06:00:00,8.35057
6,01/01/2024,07:00:00,15.00077
7,01/01/2024,08:00:00,34.32677
8,01/01/2024,09:00:00,66.62428
9,01/01/2024,10:00:00,43.91674
10,01/01/2024,11:00:00,39.01592
11,01/01/2024,12:00:00,22.11102
12,01/01/2024,13:00:00,14.22625
13,01/01/2024,14:00:00,12.88548
14,01/01/2024,15:00:00,28.50236
15,01/01/2024,16:00:00,46.37935
16,01/01/2024,17:00:00,40.61156
17,01/01/2024,18:00:00,30.61783
18,01/01/2024,19:00:00,22.67902
19,01/01/2024,20:00:00,12.47453
20,01/01/2024,21:00:00,11.59842
21,01/01/2024,22:00:00,9.84594
22,01/01/2024,23:00:00,11.8565
23,01/01/2024,24:00:00,5.30958
24,02/01/2024,01:00:00,4.40281
25,02/01/2024,02:00:00,4.0587
26,02/01/2024,03:00:00,3.86989
27,02/01/2024,04:00:00,3.56021
28,02/01/2024,05:00:00,3.86989
29,02/01/2024,06:00:00,6.50118
30,02/01/2024,07:00:00,10.93819
31,02/01/2024,08:00:00,15.78822
32,02/01/2024,09:00:00,17.18023
33,02/01/2024,10:00:00,26.62204
34,02/01/2024,11:00:00,22.08256
35,02/01/2024,12:00:00,23.16475
36,02/01/2024,13:00:00,23.7339
37,02/01/2024,14:00:00,29.87338
38,02/01/2024,15:00:00,39.36303
39,02/01/2024,16:00:00,44.62875
40,02/01/2024,17:00:00,49.37447
41,02/01/2024,18:00:00,56.54198
42,02/01/2024,19:00:00,61.06813
43,02/01/2024,20:00:00,71.92469
44,02/01/2024,21:00:00,71.8089
45,02/01/2024,22:00:00,67.43076
46,02/01/2024,23:00:00,70.31032
47,02/01/2024,24:00:00,59.96354
48,03/01/2024,01:00:00,62.95075
49,03/01/2024,02:00:00,58.91635
50,03/01/2024,03:00:00,52.82314
51,03/01/2024,04:00:00,35.37274
52,03/01/2024,05:00:00,37.6451
53,03/01/2024,06:00:00,44.46247
54,03/01/2024,07:00:00,55.09522
55,03/01/2024,08:00:00,53.13429
56,03/01/2024,09:00:00,51.37866
57,03/01/2024,10:00:00,48.02261
58,03/01/2024,11:00:00,45.69933
59,03/01/2024,12:00:00,34.28783
60,03/01/2024,13:00:00,45.43343
61,03/01/2024,14:00:00,40.2228
62,03/01/2024,15:00:00,48.17373
63,03/01/2024,16:00:00,42.91289
64,03/01/2024,17:00:00,33.5146
65,03/01/2024,18:00:00,44.20346
66,03/01/2024,19:00:00,45.38981
67,03/01/2024,20:00:00,29.53945
68,03/01/2024,21:00:00,21.1221
69,03/01/2024,22:00:00,15.90604
70,03/01/2024,23:00:00,14.14992
71,03/01/2024,24:00:00,15.38908
72,04/01/2024,01:00:00,10.89006
